"category_id","name","avg"
14,"Sci-Fi","73.4916949152542373"
5,"Comedy","71.4728571428571429"
10,"Games","67.6237931034482759"
7,"Drama","67.5157377049180328"
15,"Sports","67.0163013698630137"
2,"Animation","66.3329687500000000"
13,"New","66.1063333333333333"
1,"Action","64.7842622950819672"
11,"Horror","64.1749056603773585"
4,"Classics","62.0996296296296296"
16,"Travel","60.8935849056603774"
12,"Music","60.2258823529411765"
6,"Documentary","59.5182539682539683"
9,"Foreign","58.7234328358208955"
8,"Family","57.1664179104477612"
3,"Children","57.0584482758620690"
